Project Name,Line Change,Fix duration (days),ML category
aiqm/torchani,21,13,2
aiqm/torchani,813,148,3
aiqm/torchani,895,224,4
aiqm/torchani,143,0,6
aiqm/torchani,16,0,3
DeepLabCut/DeepLabCut,21,88,3
DeepLabCut/DeepLabCut,22,1,5
marl/openl3,22,1,5
HazyResearch/fonduer,567,28,6
stared/livelossplot,3,39,5
mozilla/bugbug,93,163,2
brendanhasz/probflow,1241,169,4
brendanhasz/probflow,5,413,4
brendanhasz/probflow,14,27,5
brendanhasz/probflow,4437,166,2
brendanhasz/probflow,727,171,2
hackingmaterials/automatminer,9126,6,4
hackingmaterials/automatminer,9126,6,4
HunterMcGushion/hyperparameter_hunter,23,4,4
HunterMcGushion/hyperparameter_hunter,1778,51,4
HunterMcGushion/hyperparameter_hunter,413,128,4
qubvel/efficientnet,3,421,4
qubvel/efficientnet,3,1008,2
qubvel/efficientnet,49,2,2
netrack/keras-metrics,5,2,3
netrack/keras-metrics,6,23,4
NRCan/geo-deep-learning,573,0,2
NRCan/geo-deep-learning,56,14,4
NRCan/geo-deep-learning,945,77,2
NRCan/geo-deep-learning,703,2,2
NRCan/geo-deep-learning,40,27,2
NRCan/geo-deep-learning,183,5,6
NRCan/geo-deep-learning,4,49,6
NRCan/geo-deep-learning,355,4,6
NRCan/geo-deep-learning,6097,290,6
NRCan/geo-deep-learning,145,266,3
NRCan/geo-deep-learning,2,0,3
NRCan/geo-deep-learning,179,396,2
NRCan/geo-deep-learning,391,10,6
NRCan/geo-deep-learning,23,5,4
NRCan/geo-deep-learning,6097,486,2
justinshenk/fer,8,182,2
onnx/onnxmltools,23,4,5
onnx/onnxmltools,169,5,6
onnx/onnxmltools,46,15,2
onnx/onnxmltools,300,8,2
ProGamerGov/neural-style-pt,48,10,4
BindsNET/bindsnet,7,4,1
BindsNET/bindsnet,32,10,4
BindsNET/bindsnet,140,19,4
blue-oil/blueoil,4,38,3
blue-oil/blueoil,3,480,2
blue-oil/blueoil,2,36,4
blue-oil/blueoil,160,7,4
blue-oil/blueoil,135,302,5
blue-oil/blueoil,235,1,2
blue-oil/blueoil,2,2,5
blue-oil/blueoil,12,6,2
blue-oil/blueoil,8,8,4
blue-oil/blueoil,16,319,2
medipixel/rl_algorithms,150,3,6
medipixel/rl_algorithms,312,60,3
medipixel/rl_algorithms,303,5,2
medipixel/rl_algorithms,312,90,3
medipixel/rl_algorithms,42,99,6
medipixel/rl_algorithms,1587,4,6
ludwig-ai/ludwig,163,4,4
ludwig-ai/ludwig,10,0,3
ludwig-ai/ludwig,623,6,6
ludwig-ai/ludwig,1009,58,4
ludwig-ai/ludwig,591,651,3
ludwig-ai/ludwig,42,5,4
ludwig-ai/ludwig,23,20,4
ludwig-ai/ludwig,51,0,1
ludwig-ai/ludwig,40,0,3
ludwig-ai/ludwig,128,54,3
ludwig-ai/ludwig,9,0,4
ludwig-ai/ludwig,144,25,4
ludwig-ai/ludwig,87,37,3
ludwig-ai/ludwig,188,0,4
ludwig-ai/ludwig,42,0,5
ludwig-ai/ludwig,51,128,3
ludwig-ai/ludwig,596,141,4
ludwig-ai/ludwig,6,0,2
ludwig-ai/ludwig,28,26,4
ludwig-ai/ludwig,591,780,3
philipperemy/keras-tcn,9,1,2
philipperemy/keras-tcn,19,9,2
atomistic-machine-learning/schnetpack,15,87,4
atomistic-machine-learning/schnetpack,4,380,6
catalyst-team/catalyst,631,55,5
sktime/sktime,32,0,5
sktime/sktime,2623,344,3
sktime/sktime,23,238,6
sktime/sktime,266,20,2
sktime/sktime,398,102,2
sktime/sktime,506,77,2
sktime/sktime,30,35,6
sktime/sktime,104,6,2
sktime/sktime,32,327,5
sktime/sktime,279,5,6
sktime/sktime,22,6,2
sktime/sktime,30,16,6
sktime/sktime,825,70,6
sktime/sktime,539,8,2
sktime/sktime,325,111,6
sktime/sktime,191,11,5
sktime/sktime,32,3,3
sktime/sktime,103,12,4
sktime/sktime,168,241,6
sktime/sktime,27,8,5
sktime/sktime,31,2,3
sktime/sktime,98,84,6
sktime/sktime,406,107,6
sktime/sktime,4,5,6
sktime/sktime,474,3,2
sktime/sktime,39,9,3
sktime/sktime,83,34,6
sktime/sktime,262,47,6
sktime/sktime,484,142,6
sktime/sktime,21,5,6
sktime/sktime,103,16,3
sktime/sktime,556,31,6
intel/dffml,133,296,6
intel/dffml,238,38,5
intel/dffml,54,10,6
intel/dffml,1877,51,4
intel/dffml,238,75,6
autonomio/talos,328,15,2
pyro-ppl/funsor,239,156,3
pyro-ppl/funsor,147,695,6
pyro-ppl/funsor,62,4,6
pyro-ppl/funsor,27,17,4
kymatio/kymatio,15,90,2
kymatio/kymatio,563,909,3
kymatio/kymatio,84,63,6
kymatio/kymatio,19,3,6
kymatio/kymatio,88,83,5
kymatio/kymatio,54,0,3
kymatio/kymatio,2595,1,3
kymatio/kymatio,178,38,6
kymatio/kymatio,16,25,3
kymatio/kymatio,12,34,3
kymatio/kymatio,74,288,5
kymatio/kymatio,28,6,5
kymatio/kymatio,376,173,3
kymatio/kymatio,10,496,4